Timestamp,CPU (%),Memory (%),GPU1 Load (%),GPU2 Load (%),GPU3 Load (%),GPU4 Load (%),GPU5 Load (%),GPU6 Load (%),GPU7 Load (%),GPU8 Load (%),GPU1 Memory Used (MB),GPU2 Memory Used (MB),GPU3 Memory Used (MB),GPU4 Memory Used (MB),GPU5 Memory Used (MB),GPU6 Memory Used (MB),GPU7 Memory Used (MB),GPU8 Memory Used (MB)
2025-06-19 16:21:14,67.0,54.8,95.0,89.0,96.0,76.0,0.0,0.0,0.0,0.0,21799.0,20253.0,20147.0,19795.0,18.0,18.0,18.0,18.0
2025-06-19 16:21:15,53.0,54.8,90.0,64.0,73.0,81.0,0.0,0.0,0.0,0.0,21799.0,20253.0,20147.0,19795.0,18.0,18.0,18.0,18.0
2025-06-19 16:21:16,54.8,54.8,77.0,90.0,71.0,71.0,0.0,0.0,0.0,0.0,21799.0,20253.0,20147.0,19795.0,18.0,18.0,18.0,18.0
2025-06-19 16:21:17,53.5,54.7,98.0,100.0,95.0,94.0,0.0,0.0,0.0,0.0,21799.0,20253.0,20147.0,19795.0,18.0,18.0,18.0,18.0
2025-06-19 16:21:19,61.6,54.7,95.0,98.0,96.0,98.0,0.0,0.0,0.0,0.0,21799.0,20253.0,20147.0,19795.0,18.0,18.0,18.0,18.0
2025-06-19 16:21:20,60.3,54.7,94.0,81.0,59.0,78.0,0.0,0.0,0.0,0.0,21799.0,20253.0,20147.0,19795.0,18.0,18.0,18.0,18.0
2025-06-19 16:21:21,45.3,54.7,100.0,100.0,95.0,90.0,0.0,0.0,0.0,0.0,21799.0,20253.0,20147.0,19795.0,18.0,18.0,18.0,18.0
2025-06-19 16:21:22,57.8,54.7,84.0,80.0,65.0,50.0,0.0,0.0,0.0,0.0,21799.0,20253.0,20147.0,19795.0,18.0,18.0,18.0,18.0
2025-06-19 16:21:23,53.4,54.7,100.0,92.0,98.0,99.0,0.0,0.0,0.0,0.0,21799.0,20253.0,20147.0,19795.0,18.0,18.0,18.0,18.0
2025-06-19 16:21:25,56.1,54.7,96.0,98.0,94.0,95.0,0.0,0.0,0.0,0.0,21799.0,20253.0,20147.0,19795.0,18.0,18.0,18.0,18.0
2025-06-19 16:21:26,59.0,54.7,91.0,93.0,98.0,100.0,0.0,0.0,0.0,0.0,21799.0,20253.0,20147.0,19795.0,18.0,18.0,18.0,18.0
2025-06-19 16:21:27,57.6,54.7,91.0,98.0,93.0,95.0,0.0,0.0,0.0,0.0,21799.0,20253.0,20147.0,19795.0,18.0,18.0,18.0,18.0
2025-06-19 16:21:28,53.0,54.7,58.0,15.0,71.0,81.0,0.0,0.0,0.0,0.0,21799.0,20253.0,20147.0,19795.0,18.0,18.0,18.0,18.0
2025-06-19 16:21:29,51.8,54.7,100.0,80.0,100.0,100.0,0.0,0.0,0.0,0.0,21799.0,20253.0,20147.0,19795.0,18.0,18.0,18.0,18.0
2025-06-19 16:21:31,55.0,54.7,93.0,97.0,99.0,96.0,0.0,0.0,0.0,0.0,21799.0,20253.0,20147.0,19795.0,18.0,18.0,18.0,18.0
2025-06-19 16:21:32,58.3,54.7,73.0,83.0,76.0,94.0,0.0,0.0,0.0,0.0,21799.0,20253.0,20147.0,19795.0,18.0,18.0,18.0,18.0
2025-06-19 16:21:33,52.4,54.7,31.0,51.0,22.0,50.0,0.0,0.0,0.0,0.0,21799.0,20253.0,20147.0,19795.0,18.0,18.0,18.0,18.0
2025-06-19 16:21:34,48.1,54.7,89.0,100.0,98.0,87.0,0.0,0.0,0.0,0.0,21799.0,20253.0,20147.0,19795.0,18.0,18.0,18.0,18.0
2025-06-19 16:21:35,58.7,54.7,95.0,94.0,97.0,95.0,0.0,0.0,0.0,0.0,21799.0,20253.0,20147.0,19795.0,18.0,18.0,18.0,18.0
2025-06-19 16:21:36,55.6,54.7,91.0,82.0,43.0,91.0,0.0,0.0,0.0,0.0,21799.0,20253.0,20147.0,19795.0,18.0,18.0,18.0,18.0
2025-06-19 16:21:38,50.1,54.7,34.0,88.0,78.0,75.0,0.0,0.0,0.0,0.0,21799.0,20253.0,20147.0,19795.0,18.0,18.0,18.0,18.0
2025-06-19 16:21:39,59.2,54.7,93.0,100.0,97.0,100.0,0.0,0.0,0.0,0.0,21799.0,20253.0,20147.0,19795.0,18.0,18.0,18.0,18.0
2025-06-19 16:21:40,58.4,54.7,96.0,94.0,88.0,97.0,0.0,0.0,0.0,0.0,21799.0,20253.0,20147.0,19795.0,18.0,18.0,18.0,18.0
2025-06-19 16:21:41,50.2,54.7,82.0,58.0,27.0,72.0,0.0,0.0,0.0,0.0,21799.0,20253.0,20147.0,19795.0,18.0,18.0,18.0,18.0
